study,name,label,label_de,description,description_de
scp,track,Tracking data,Struktur-/Pfad-Daten,Essential files to track persons or household over time,
scp,org/gross,Gross data,Brutto-Daten,"Information on gross sample, mostly from the field work",
scp,org/net,Original survey data (net sample),Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire",
scp,survey,Method data,Methodendaten,Dataset describing the survey design or weighting scheme,
scp,gen,Generated data,Generierte Daten,"Generated data, checked for longitudinally consistency",
scp,gen/bio,Gen. Biographical data,Generierte Bio-Daten,"Generated biographical data, checked for longitudinally consistency",
scp,spell,Spell,,Spell data,
scp,raw,Raw data (undistributed),Rohdaten (nicht veröffentlicht),Undistributed original datasets,
